description,category
interest income payment,Income
amazon order transaction,Shopping
cinema,Entertainment
mobile recharge payment,Utilities
medicine purchase 782,Health
mobile recharge 1927,Utilities
restaurant meal,Food
interest income expense,Income
bus ticket expense,Transport
salary credited 1941,Income
gas bill payment,Utilities
resort stay 1193,Travel
game purchase payment,Entertainment
zomato order,Food
lunch transaction,Food
refund received expense,Income
health checkup payment,Health
internet bill transaction,Utilities
health checkup,Health
restaurant meal transaction,Food
resort stay 741,Travel
daily groceries transaction,Groceries
resort stay transaction,Travel
auto rickshaw,Transport
medical bill,Health
gas station expense,Transport
auto rickshaw expense,Transport
supermarket,Groceries
daily groceries 4141,Groceries
cashback received payment,Income
grocery shopping expense,Groceries
diesel expense,Transport
vacation travel expense,Travel
coffee,Food
lunch transaction,Food
spotify premium,Entertainment
vegetable market,Groceries
mall shopping payment,Shopping
electronics purchase,Shopping
restaurant meal transaction,Food
bus ticket transaction,Transport
water bill,Utilities
new shoes,Shopping
bus ticket payment,Transport
medicine purchase payment,Health
diesel transaction,Transport
vegetable market transaction,Groceries
freelance payment transaction,Income
new shoes 4773,Shopping
daily groceries 599,Groceries
tea payment,Food
gas station payment,Transport
tea,Food
movie ticket expense,Entertainment
electronics purchase transaction,Shopping
trip expense transaction,Travel
electricity bill transaction,Utilities
internet bill,Utilities
flipkart order transaction,Shopping
snacks transaction,Food
supermarket expense,Groceries
mobile recharge,Utilities
diesel,Transport
online shopping 4786,Shopping
electricity bill 2015,Utilities
concert ticket expense,Entertainment
bonus received 3516,Income
supermarket 2748,Groceries
trip expense,Travel
health checkup,Health
clothes purchase,Shopping
tour booking,Travel
amazon order,Shopping
mall shopping,Shopping
vegetable market transaction,Groceries
water bill,Utilities
netflix subscription expense,Entertainment
medical bill 1633,Health
pizza transaction,Food
hospital visit payment,Health
netflix subscription 1696,Entertainment
shopping payment,Shopping
fuel refill,Transport
metro ticket,Transport
flight ticket expense,Travel
movie ticket,Entertainment
street food payment,Food
wifi payment expense,Utilities
dinner,Food
supermarket,Groceries
taxi fare transaction,Transport
supermarket transaction,Groceries
online shopping,Shopping
flipkart order 3439,Shopping
hotel booking payment,Travel
cashback received,Income
resort stay payment,Travel
ration store 3131,Groceries
wifi payment,Utilities
daily groceries expense,Groceries
trip expense expense,Travel
cashback received,Income
coffee,Food
refund received expense,Income
game purchase,Entertainment
supermarket 1734,Groceries
spotify premium,Entertainment
supermarket,Groceries
salary credited,Income
lunch 4828,Food
bonus received expense,Income
refund received 3598,Income
gas bill transaction,Utilities
flight ticket transaction,Travel
gas bill expense,Utilities
interest income 1594,Income
supermarket payment,Groceries
interest income,Income
wifi payment transaction,Utilities
spotify premium payment,Entertainment
cashback received 4098,Income
amazon order expense,Shopping
game purchase,Entertainment
refund received,Income
doctor consultation expense,Health
fuel refill,Transport
cinema,Entertainment
wifi payment,Utilities
mall shopping 1153,Shopping
hospital visit payment,Health
flight ticket payment,Travel
milk purchase payment,Groceries
hotel booking expense,Travel
cashback received,Income
new shoes transaction,Shopping
hospital visit,Health
snacks,Food
hotel booking,Travel
concert ticket expense,Entertainment
resort stay expense,Travel
medical bill payment,Health
freelance payment,Income
mall shopping transaction,Shopping
street food 1638,Food
cashback received payment,Income
train ticket payment,Transport
mall shopping,Shopping
gas bill 777,Utilities
refund received payment,Income
snacks transaction,Food
daily groceries,Groceries
vegetable market,Groceries
metro ticket payment,Transport
supermarket 831,Groceries
medical bill transaction,Health
burger expense,Food
online shopping,Shopping
food delivery payment,Food
vegetable market expense,Groceries
resort stay,Travel
internet bill expense,Utilities
mobile recharge 3925,Utilities
medical bill expense,Health
shopping payment,Shopping
clothes purchase expense,Shopping
auto rickshaw 2931,Transport
new shoes 3990,Shopping
gas bill,Utilities
taxi fare 4192,Transport
netflix subscription,Entertainment
grocery shopping,Groceries
trip expense payment,Travel
hotel booking,Travel
resort stay transaction,Travel
medical bill,Health
supermarket,Groceries
salary credited expense,Income
burger,Food
salary credited,Income
street food expense,Food
gas bill payment,Utilities
burger expense,Food
restaurant meal payment,Food
salary credited,Income
shopping,Shopping
hospital visit expense,Health
medicine purchase expense,Health
interest income transaction,Income
flight ticket,Travel
tea,Food
health checkup payment,Health
freelance payment,Income
mall shopping 1086,Shopping
flipkart order,Shopping
salary credited,Income
amazon order,Shopping
trip expense payment,Travel
mobile recharge transaction,Utilities
electronics purchase 439,Shopping
breakfast expense,Food
hospital visit 3340,Health
game purchase 3944,Entertainment
shopping,Shopping
flight ticket,Travel
medical bill payment,Health
movie ticket payment,Entertainment
freelance payment,Income
shopping,Shopping
pharmacy,Health
salary credited payment,Income
clothes purchase expense,Shopping
mall shopping,Shopping
ola cab payment,Transport
food delivery transaction,Food
medical bill,Health
bus ticket payment,Transport
wifi payment,Utilities
train ticket,Transport
bonus received payment,Income
gas station expense,Transport
cinema 1213,Entertainment
new shoes payment,Shopping
freelance payment transaction,Income
gas station payment,Transport
gas bill 402,Utilities
cashback received payment,Income
spotify premium transaction,Entertainment
train ticket,Transport
tour booking payment,Travel
uber ride,Transport
clothes purchase expense,Shopping
game purchase,Entertainment
cinema transaction,Entertainment
hotel booking,Travel
swiggy order,Food
diesel,Transport
swiggy order,Food
flight ticket,Travel
game purchase,Entertainment
vacation travel,Travel
electronics purchase payment,Shopping
electricity bill expense,Utilities
water bill payment,Utilities
pharmacy 1388,Health
netflix subscription payment,Entertainment
resort stay 3555,Travel
electricity bill 3379,Utilities
cashback received,Income
amazon order,Shopping
movie ticket transaction,Entertainment
amazon order,Shopping
vacation travel 1324,Travel
bus ticket,Transport
new shoes expense,Shopping
hotel booking 2854,Travel
medical bill expense,Health
game purchase,Entertainment
trip expense transaction,Travel
tea payment,Food
interest income payment,Income
game purchase payment,Entertainment
hospital visit,Health
hospital visit payment,Health
vacation travel 930,Travel
medical bill 162,Health
medical bill,Health
mall shopping 701,Shopping
hotel booking payment,Travel
metro ticket,Transport
bonus received,Income
fuel refill payment,Transport
supermarket payment,Groceries
internet bill expense,Utilities
game purchase payment,Entertainment
breakfast payment,Food
diesel,Transport
interest income payment,Income
mobile recharge,Utilities
game purchase payment,Entertainment
movie ticket payment,Entertainment
refund received payment,Income
medicine purchase 3493,Health
snacks,Food
tour booking,Travel
snacks 4528,Food
online shopping,Shopping
hospital visit,Health
amazon order transaction,Shopping
trip expense payment,Travel
taxi fare payment,Transport
metro ticket transaction,Transport
daily groceries transaction,Groceries
resort stay,Travel
bus ticket,Transport
hospital visit expense,Health
auto rickshaw expense,Transport
mobile recharge payment,Utilities
medicine purchase,Health
zomato order expense,Food
lunch 2364,Food
health checkup transaction,Health
resort stay,Travel
internet bill 486,Utilities
train ticket payment,Transport
interest income,Income
interest income transaction,Income
flipkart order 2237,Shopping
hospital visit,Health
cashback received expense,Income
vacation travel transaction,Travel
gas bill payment,Utilities
trip expense payment,Travel
concert ticket,Entertainment
vegetable market transaction,Groceries
concert ticket,Entertainment
bus ticket payment,Transport
wifi payment,Utilities
doctor consultation 759,Health
cashback received expense,Income
salary credited,Income
milk purchase,Groceries
metro ticket payment,Transport
pizza,Food
game purchase,Entertainment
electricity bill payment,Utilities
medicine purchase payment,Health
health checkup,Health
train ticket payment,Transport
game purchase expense,Entertainment
medicine purchase,Health
internet bill,Utilities
taxi fare,Transport
amazon order,Shopping
electricity bill transaction,Utilities
hospital visit 3246,Health
pharmacy payment,Health
restaurant meal,Food
new shoes,Shopping
resort stay expense,Travel
health checkup transaction,Health
snacks expense,Food
auto rickshaw expense,Transport
internet bill transaction,Utilities
trip expense,Travel
milk purchase transaction,Groceries
burger transaction,Food
metro ticket,Transport
supermarket transaction,Groceries
mall shopping expense,Shopping
ration store 2685,Groceries
game purchase,Entertainment
spotify premium 1359,Entertainment
dinner 1349,Food
spotify premium,Entertainment
interest income 2880,Income
medicine purchase expense,Health
coffee,Food
coffee,Food
fuel refill 4828,Transport
cinema 4084,Entertainment
snacks payment,Food
flight ticket transaction,Travel
fuel refill transaction,Transport
tea payment,Food
dinner,Food
medical bill,Health
supermarket expense,Groceries
coffee expense,Food
dinner expense,Food
uber ride,Transport
netflix subscription payment,Entertainment
spotify premium,Entertainment
new shoes transaction,Shopping
ration store payment,Groceries
mall shopping expense,Shopping
electricity bill transaction,Utilities
street food payment,Food
food delivery 2678,Food
supermarket,Groceries
resort stay,Travel
flipkart order 2606,Shopping
water bill,Utilities
refund received transaction,Income
train ticket 2654,Transport
online shopping 4118,Shopping
milk purchase 4194,Groceries
health checkup 514,Health
gas station payment,Transport
hospital visit expense,Health
pizza 4441,Food
restaurant meal 2623,Food
refund received,Income
grocery shopping 3651,Groceries
gas station transaction,Transport
cinema 2961,Entertainment
wifi payment transaction,Utilities
internet bill 3621,Utilities
flipkart order 1289,Shopping
resort stay 3395,Travel
resort stay transaction,Travel
medicine purchase payment,Health
hospital visit payment,Health
freelance payment 4707,Income
movie ticket transaction,Entertainment
swiggy order expense,Food
doctor consultation expense,Health
shopping,Shopping
petrol payment,Transport
clothes purchase payment,Shopping
medicine purchase,Health
interest income,Income
new shoes transaction,Shopping
interest income payment,Income
water bill payment,Utilities
clothes purchase,Shopping
online shopping,Shopping
refund received 1114,Income
burger,Food
doctor consultation,Health
netflix subscription transaction,Entertainment
taxi fare,Transport
mobile recharge 831,Utilities
breakfast expense,Food
auto rickshaw 290,Transport
interest income payment,Income
medicine purchase transaction,Health
online shopping payment,Shopping
uber ride expense,Transport
amazon order,Shopping
vegetable market payment,Groceries
concert ticket,Entertainment
snacks payment,Food
refund received payment,Income
ola cab payment,Transport
medical bill expense,Health
salary credited,Income
electronics purchase payment,Shopping
water bill,Utilities
diesel expense,Transport
water bill payment,Utilities
bus ticket 1883,Transport
hotel booking expense,Travel
health checkup 2877,Health
hospital visit,Health
mobile recharge,Utilities
auto rickshaw 1245,Transport
tea transaction,Food
mobile recharge payment,Utilities
taxi fare,Transport
concert ticket expense,Entertainment
concert ticket,Entertainment
health checkup,Health
grocery shopping 4429,Groceries
internet bill payment,Utilities
electronics purchase transaction,Shopping
trip expense transaction,Travel
game purchase,Entertainment
food delivery expense,Food
medicine purchase payment,Health
gas bill 4840,Utilities
metro ticket transaction,Transport
pizza 2380,Food
ration store 3955,Groceries
internet bill 4366,Utilities
clothes purchase transaction,Shopping
hotel booking 3490,Travel
resort stay transaction,Travel
freelance payment,Income
fuel refill expense,Transport
mall shopping,Shopping
fuel refill payment,Transport
medicine purchase expense,Health
mobile recharge payment,Utilities
electronics purchase transaction,Shopping
shopping transaction,Shopping
zomato order expense,Food
hospital visit expense,Health
refund received transaction,Income
grocery shopping 74,Groceries
water bill payment,Utilities
flight ticket payment,Travel
movie ticket 3711,Entertainment
water bill,Utilities
interest income 1995,Income
trip expense,Travel
taxi fare transaction,Transport
supermarket 4823,Groceries
coffee transaction,Food
daily groceries payment,Groceries
ola cab,Transport
medicine purchase 2978,Health
trip expense payment,Travel
street food 620,Food
burger,Food
freelance payment transaction,Income
gas bill transaction,Utilities
netflix subscription,Entertainment
medical bill expense,Health
amazon order expense,Shopping
refund received 4466,Income
lunch,Food
vacation travel expense,Travel
uber ride transaction,Transport
mobile recharge expense,Utilities
flight ticket 3895,Travel
zomato order,Food
diesel transaction,Transport
water bill 1502,Utilities
tea 728,Food
tour booking,Travel
restaurant meal 2144,Food
vegetable market 844,Groceries
vegetable market expense,Groceries
refund received payment,Income
wifi payment,Utilities
uber ride,Transport
daily groceries transaction,Groceries
taxi fare expense,Transport
resort stay expense,Travel
pharmacy,Health
trip expense,Travel
hospital visit,Health
electricity bill transaction,Utilities
bonus received expense,Income
online shopping payment,Shopping
wifi payment,Utilities
spotify premium,Entertainment
freelance payment 474,Income
freelance payment payment,Income
medicine purchase,Health
supermarket,Groceries
cashback received,Income
netflix subscription expense,Entertainment
water bill expense,Utilities
internet bill expense,Utilities
doctor consultation transaction,Health
pharmacy 3193,Health
wifi payment,Utilities
uber ride payment,Transport
internet bill,Utilities
game purchase transaction,Entertainment
hotel booking payment,Travel
cinema,Entertainment
electronics purchase transaction,Shopping
electronics purchase,Shopping
coffee 4599,Food
game purchase transaction,Entertainment
wifi payment,Utilities
gas bill,Utilities
shopping expense,Shopping
online shopping,Shopping
trip expense expense,Travel
ration store transaction,Groceries
flight ticket 238,Travel
online shopping,Shopping
lunch expense,Food
daily groceries,Groceries
supermarket,Groceries
freelance payment expense,Income
resort stay,Travel
flight ticket transaction,Travel
movie ticket payment,Entertainment
daily groceries transaction,Groceries
salary credited,Income
swiggy order payment,Food
hospital visit payment,Health
supermarket 3723,Groceries
interest income,Income
new shoes,Shopping
amazon order transaction,Shopping
supermarket,Groceries
spotify premium payment,Entertainment
amazon order transaction,Shopping
tea payment,Food
spotify premium transaction,Entertainment
grocery shopping 1906,Groceries
electricity bill,Utilities
uber ride payment,Transport
interest income expense,Income
gas bill expense,Utilities
spotify premium 4896,Entertainment
movie ticket transaction,Entertainment
daily groceries,Groceries
supermarket,Groceries
vacation travel,Travel
concert ticket transaction,Entertainment
flight ticket 2826,Travel
gas bill,Utilities
online shopping payment,Shopping
bonus received expense,Income
cinema 3617,Entertainment
resort stay,Travel
mobile recharge transaction,Utilities
uber ride,Transport
trip expense,Travel
netflix subscription payment,Entertainment
swiggy order,Food
medical bill,Health
trip expense expense,Travel
new shoes,Shopping
flipkart order expense,Shopping
spotify premium,Entertainment
vegetable market payment,Groceries
medical bill 4746,Health
spotify premium expense,Entertainment
bonus received transaction,Income
vegetable market expense,Groceries
amazon order,Shopping
game purchase 580,Entertainment
daily groceries,Groceries
cinema payment,Entertainment
supermarket transaction,Groceries
game purchase payment,Entertainment
shopping transaction,Shopping
supermarket transaction,Groceries
hospital visit 1999,Health
doctor consultation expense,Health
clothes purchase expense,Shopping
uber ride transaction,Transport
ration store 4769,Groceries
milk purchase,Groceries
metro ticket,Transport
pharmacy,Health
supermarket,Groceries
vacation travel expense,Travel
bonus received,Income
vegetable market 2166,Groceries
electronics purchase,Shopping
interest income,Income
internet bill,Utilities
cashback received payment,Income
hospital visit,Health
supermarket expense,Groceries
resort stay 4362,Travel
internet bill payment,Utilities
amazon order payment,Shopping
flight ticket,Travel
breakfast 441,Food
concert ticket expense,Entertainment
auto rickshaw,Transport
movie ticket transaction,Entertainment
mobile recharge,Utilities
street food expense,Food
mobile recharge,Utilities
snacks transaction,Food
electricity bill payment,Utilities
movie ticket,Entertainment
electronics purchase expense,Shopping
cinema payment,Entertainment
uber ride,Transport
daily groceries transaction,Groceries
bus ticket 3975,Transport
swiggy order,Food
movie ticket expense,Entertainment
flight ticket expense,Travel
clothes purchase expense,Shopping
medical bill,Health
gas station transaction,Transport
bus ticket,Transport
shopping payment,Shopping
vacation travel,Travel
coffee,Food
interest income payment,Income
grocery shopping transaction,Groceries
mobile recharge,Utilities
ola cab 1825,Transport
metro ticket,Transport
cinema,Entertainment
gas bill 344,Utilities
medicine purchase transaction,Health
resort stay transaction,Travel
gas station,Transport
health checkup expense,Health
netflix subscription payment,Entertainment
amazon order,Shopping
cashback received payment,Income
electricity bill expense,Utilities
hotel booking,Travel
vacation travel,Travel
game purchase transaction,Entertainment
bus ticket 590,Transport
hotel booking expense,Travel
health checkup 3436,Health
electricity bill,Utilities
game purchase payment,Entertainment
medicine purchase payment,Health
mobile recharge payment,Utilities
game purchase,Entertainment
breakfast,Food
new shoes 4590,Shopping
shopping transaction,Shopping
vegetable market,Groceries
taxi fare,Transport
amazon order transaction,Shopping
milk purchase 1878,Groceries
movie ticket,Entertainment
ration store,Groceries
ration store transaction,Groceries
medical bill payment,Health
cinema 3009,Entertainment
online shopping transaction,Shopping
grocery shopping transaction,Groceries
train ticket expense,Transport
bus ticket 944,Transport
taxi fare 840,Transport
netflix subscription expense,Entertainment
health checkup transaction,Health
grocery shopping transaction,Groceries
hotel booking 208,Travel
tour booking,Travel
electronics purchase expense,Shopping
spotify premium,Entertainment
pizza,Food
flight ticket expense,Travel
mobile recharge,Utilities
netflix subscription transaction,Entertainment
bonus received payment,Income
cinema 3585,Entertainment
online shopping 3427,Shopping
hotel booking,Travel
gas bill 3597,Utilities
petrol 3155,Transport
wifi payment expense,Utilities
dinner,Food
mall shopping,Shopping
spotify premium 4116,Entertainment
interest income transaction,Income
tea,Food
concert ticket 736,Entertainment
daily groceries expense,Groceries
clothes purchase payment,Shopping
movie ticket 4055,Entertainment
water bill transaction,Utilities
trip expense 2424,Travel
pizza 911,Food
gas station,Transport
electricity bill 2629,Utilities
vacation travel,Travel
petrol 1622,Transport
bus ticket,Transport
hospital visit,Health
game purchase,Entertainment
cinema,Entertainment
vacation travel,Travel
milk purchase expense,Groceries
hospital visit,Health
grocery shopping payment,Groceries
mobile recharge,Utilities
salary credited payment,Income
breakfast transaction,Food
ration store,Groceries
spotify premium transaction,Entertainment
petrol expense,Transport
cinema expense,Entertainment
pharmacy transaction,Health
hospital visit,Health
concert ticket payment,Entertainment
netflix subscription 4633,Entertainment
vacation travel,Travel
doctor consultation payment,Health
salary credited transaction,Income
pharmacy 1820,Health
medicine purchase payment,Health
interest income,Income
cinema,Entertainment
medicine purchase,Health
supermarket transaction,Groceries
wifi payment 4108,Utilities
interest income,Income
health checkup expense,Health
hotel booking expense,Travel
daily groceries transaction,Groceries
interest income 2497,Income
bus ticket 2882,Transport
salary credited expense,Income
spotify premium payment,Entertainment
online shopping expense,Shopping
wifi payment payment,Utilities
food delivery expense,Food
trip expense payment,Travel
doctor consultation 519,Health
freelance payment transaction,Income
ola cab expense,Transport
tea transaction,Food
supermarket,Groceries
hotel booking payment,Travel
taxi fare,Transport
lunch 4255,Food
resort stay expense,Travel
cinema transaction,Entertainment
uber ride,Transport
game purchase,Entertainment
ration store expense,Groceries
concert ticket,Entertainment
flight ticket payment,Travel
train ticket payment,Transport
flipkart order,Shopping
concert ticket transaction,Entertainment
wifi payment transaction,Utilities
ola cab transaction,Transport
refund received,Income
bonus received transaction,Income
ration store,Groceries
doctor consultation payment,Health
zomato order 929,Food
cashback received 789,Income
auto rickshaw,Transport
bonus received,Income
health checkup 3021,Health
metro ticket transaction,Transport
interest income,Income
dinner 2461,Food
vacation travel,Travel
daily groceries payment,Groceries
freelance payment expense,Income
gas bill,Utilities
netflix subscription expense,Entertainment
pizza 1856,Food
grocery shopping payment,Groceries
online shopping,Shopping
mobile recharge transaction,Utilities
fuel refill transaction,Transport
lunch,Food
gas station transaction,Transport
daily groceries,Groceries
cinema,Entertainment
resort stay expense,Travel
zomato order,Food
burger 2358,Food
lunch,Food
concert ticket transaction,Entertainment
flight ticket payment,Travel
daily groceries payment,Groceries
ration store transaction,Groceries
amazon order expense,Shopping
lunch expense,Food
grocery shopping 1024,Groceries
pharmacy expense,Health
doctor consultation 457,Health
hospital visit,Health
mall shopping 3849,Shopping
dinner expense,Food
electronics purchase transaction,Shopping
gas bill 3834,Utilities
mall shopping transaction,Shopping
fuel refill 1520,Transport
spotify premium 4400,Entertainment
dinner,Food
game purchase transaction,Entertainment
medicine purchase transaction,Health
hotel booking payment,Travel
snacks transaction,Food
ola cab,Transport
internet bill transaction,Utilities
grocery shopping,Groceries
gas bill,Utilities
milk purchase 3142,Groceries
refund received payment,Income
flight ticket,Travel
movie ticket 2945,Entertainment
cashback received payment,Income
snacks 199,Food
hotel booking expense,Travel
salary credited expense,Income
movie ticket payment,Entertainment
resort stay payment,Travel
medicine purchase,Health
milk purchase expense,Groceries
interest income expense,Income
spotify premium,Entertainment
breakfast,Food
doctor consultation expense,Health
spotify premium transaction,Entertainment
mall shopping 4421,Shopping
electricity bill expense,Utilities
netflix subscription transaction,Entertainment
water bill payment,Utilities
milk purchase 4113,Groceries
clothes purchase transaction,Shopping
refund received transaction,Income
uber ride,Transport
spotify premium,Entertainment
new shoes,Shopping
vacation travel,Travel
mall shopping payment,Shopping
freelance payment,Income
doctor consultation,Health
restaurant meal expense,Food
milk purchase,Groceries
pharmacy payment,Health
daily groceries,Groceries
pizza,Food
internet bill,Utilities
hotel booking transaction,Travel
hospital visit payment,Health
movie ticket,Entertainment
wifi payment payment,Utilities
internet bill,Utilities
petrol payment,Transport
shopping payment,Shopping
freelance payment,Income
hospital visit 4186,Health
lunch,Food
diesel,Transport
doctor consultation 1586,Health
daily groceries,Groceries
pharmacy,Health
bus ticket,Transport
train ticket 529,Transport
hospital visit,Health
swiggy order 4168,Food
refund received,Income
dinner expense,Food
doctor consultation expense,Health
concert ticket,Entertainment
interest income,Income
medical bill 361,Health
electronics purchase transaction,Shopping
cinema transaction,Entertainment
hospital visit 583,Health
mall shopping,Shopping
pharmacy payment,Health
electronics purchase payment,Shopping
ration store payment,Groceries
cashback received expense,Income
clothes purchase payment,Shopping
amazon order,Shopping
netflix subscription payment,Entertainment
daily groceries 1704,Groceries
freelance payment 1227,Income
pharmacy transaction,Health
interest income payment,Income
electricity bill 1923,Utilities
refund received,Income
internet bill,Utilities
bus ticket,Transport
food delivery,Food
bonus received expense,Income
grocery shopping expense,Groceries
netflix subscription 3797,Entertainment
online shopping transaction,Shopping
water bill,Utilities
water bill payment,Utilities
salary credited payment,Income
pharmacy 580,Health
breakfast payment,Food
mall shopping 300,Shopping
water bill,Utilities
freelance payment payment,Income
freelance payment payment,Income
milk purchase 1265,Groceries
pharmacy 4448,Health
concert ticket,Entertainment
grocery shopping payment,Groceries
vegetable market,Groceries
flight ticket expense,Travel
cinema payment,Entertainment
grocery shopping,Groceries
restaurant meal,Food
interest income transaction,Income
amazon order expense,Shopping
internet bill 699,Utilities
bonus received expense,Income
medical bill,Health
medicine purchase expense,Health
gas bill expense,Utilities
resort stay payment,Travel
vacation travel transaction,Travel
daily groceries expense,Groceries
petrol 3161,Transport
new shoes 3880,Shopping
tour booking transaction,Travel
zomato order,Food
hospital visit 3029,Health
freelance payment,Income
taxi fare,Transport
food delivery payment,Food
doctor consultation 4489,Health
clothes purchase,Shopping
concert ticket,Entertainment
ola cab,Transport
gas station,Transport
freelance payment,Income
gas bill expense,Utilities
clothes purchase,Shopping
bus ticket transaction,Transport
doctor consultation expense,Health
medical bill,Health
internet bill transaction,Utilities
pharmacy transaction,Health
tour booking,Travel
doctor consultation,Health
gas station payment,Transport
medicine purchase,Health
interest income,Income
petrol,Transport
coffee,Food
medicine purchase,Health
lunch,Food
vacation travel expense,Travel
interest income payment,Income
grocery shopping,Groceries
resort stay payment,Travel
netflix subscription,Entertainment
health checkup 3737,Health
movie ticket 2735,Entertainment
supermarket transaction,Groceries
zomato order expense,Food
clothes purchase 1491,Shopping
milk purchase transaction,Groceries
petrol transaction,Transport
medical bill payment,Health
grocery shopping,Groceries
burger payment,Food
freelance payment expense,Income
wifi payment transaction,Utilities
netflix subscription expense,Entertainment
online shopping,Shopping
doctor consultation payment,Health
vegetable market expense,Groceries
amazon order 2250,Shopping
swiggy order payment,Food
hotel booking expense,Travel
clothes purchase,Shopping
water bill payment,Utilities
spotify premium,Entertainment
concert ticket payment,Entertainment
refund received,Income
electronics purchase,Shopping
cashback received,Income
spotify premium 1315,Entertainment
street food payment,Food
salary credited payment,Income
wifi payment payment,Utilities
mobile recharge payment,Utilities
wifi payment expense,Utilities
vacation travel payment,Travel
online shopping transaction,Shopping
doctor consultation 1632,Health
doctor consultation transaction,Health
gas bill transaction,Utilities
daily groceries,Groceries
freelance payment 4636,Income
electronics purchase 4164,Shopping
spotify premium payment,Entertainment
vacation travel transaction,Travel
milk purchase 3517,Groceries
game purchase expense,Entertainment
electronics purchase payment,Shopping
burger,Food
breakfast expense,Food
concert ticket 2899,Entertainment
mobile recharge payment,Utilities
snacks transaction,Food
swiggy order payment,Food
flight ticket transaction,Travel
bus ticket transaction,Transport
auto rickshaw,Transport
health checkup 2146,Health
coffee,Food
snacks payment,Food
pharmacy transaction,Health
vegetable market expense,Groceries
interest income,Income
movie ticket payment,Entertainment
tour booking transaction,Travel
wifi payment payment,Utilities
amazon order 1347,Shopping
street food payment,Food
shopping expense,Shopping
breakfast transaction,Food
pharmacy,Health
pharmacy expense,Health
resort stay expense,Travel
grocery shopping transaction,Groceries
game purchase expense,Entertainment
electronics purchase,Shopping
concert ticket,Entertainment
internet bill expense,Utilities
vacation travel payment,Travel
lunch,Food
electricity bill,Utilities
metro ticket 2564,Transport
netflix subscription expense,Entertainment
refund received expense,Income
freelance payment,Income
hospital visit,Health
clothes purchase transaction,Shopping
milk purchase,Groceries
freelance payment 811,Income
amazon order,Shopping
water bill,Utilities
pharmacy 4990,Health
ration store expense,Groceries
gas bill transaction,Utilities
clothes purchase expense,Shopping
health checkup 2347,Health
metro ticket expense,Transport
gas station expense,Transport
uber ride expense,Transport
refund received,Income
coffee expense,Food
restaurant meal expense,Food
grocery shopping expense,Groceries
pharmacy payment,Health
auto rickshaw,Transport
cinema,Entertainment
clothes purchase,Shopping
movie ticket payment,Entertainment
zomato order expense,Food
electricity bill,Utilities
petrol 3864,Transport
freelance payment,Income
hotel booking 1900,Travel
flight ticket 3797,Travel
fuel refill transaction,Transport
hospital visit transaction,Health
pharmacy payment,Health
resort stay,Travel
doctor consultation 1652,Health
refund received transaction,Income
cinema,Entertainment
petrol,Transport
ration store,Groceries
resort stay,Travel
bus ticket expense,Transport
medical bill,Health
uber ride transaction,Transport
diesel transaction,Transport
flipkart order,Shopping
street food payment,Food
bonus received,Income
hotel booking 963,Travel
food delivery transaction,Food
dinner transaction,Food
electronics purchase 4775,Shopping
ration store expense,Groceries
wifi payment payment,Utilities
online shopping,Shopping
internet bill,Utilities
medicine purchase,Health
refund received,Income
resort stay expense,Travel
hotel booking expense,Travel
doctor consultation,Health
dinner transaction,Food
bonus received,Income
diesel,Transport
vacation travel transaction,Travel
amazon order expense,Shopping
game purchase transaction,Entertainment
freelance payment payment,Income
game purchase 3762,Entertainment
bonus received transaction,Income
netflix subscription payment,Entertainment
gas station 3802,Transport
salary credited,Income
pharmacy expense,Health
spotify premium 4373,Entertainment
flight ticket transaction,Travel
netflix subscription,Entertainment
resort stay 59,Travel
shopping transaction,Shopping
vegetable market 1067,Groceries
lunch 1646,Food
pharmacy,Health
netflix subscription payment,Entertainment
bonus received expense,Income
clothes purchase transaction,Shopping
wifi payment transaction,Utilities
mobile recharge transaction,Utilities
medical bill expense,Health
water bill 4537,Utilities
milk purchase,Groceries
breakfast transaction,Food
amazon order expense,Shopping
vacation travel,Travel
ration store 3679,Groceries
gas station 2007,Transport
trip expense transaction,Travel
online shopping expense,Shopping
dinner expense,Food
clothes purchase,Shopping
spotify premium,Entertainment
tour booking 4192,Travel
clothes purchase,Shopping
gas bill,Utilities
trip expense payment,Travel
spotify premium 1371,Entertainment
refund received 1596,Income
amazon order transaction,Shopping
resort stay payment,Travel
spotify premium,Entertainment
fuel refill 2788,Transport
ration store expense,Groceries
online shopping 4576,Shopping
tour booking payment,Travel
electricity bill expense,Utilities
fuel refill 1425,Transport
ration store transaction,Groceries
doctor consultation payment,Health
mobile recharge,Utilities
auto rickshaw payment,Transport
medicine purchase payment,Health
ration store,Groceries
health checkup payment,Health
gas station payment,Transport
doctor consultation transaction,Health
mobile recharge transaction,Utilities
salary credited expense,Income
clothes purchase expense,Shopping
train ticket,Transport
trip expense payment,Travel
water bill 195,Utilities
amazon order,Shopping
ration store,Groceries
grocery shopping transaction,Groceries
netflix subscription,Entertainment
concert ticket transaction,Entertainment
coffee 1181,Food
milk purchase,Groceries
hospital visit transaction,Health
trip expense,Travel
vegetable market expense,Groceries
breakfast,Food
flipkart order expense,Shopping
medicine purchase 4066,Health
refund received transaction,Income
supermarket,Groceries
gas bill payment,Utilities
taxi fare,Transport
electricity bill 3963,Utilities
medical bill transaction,Health
grocery shopping expense,Groceries
amazon order 1822,Shopping
uber ride payment,Transport
trip expense payment,Travel
cashback received expense,Income
vegetable market,Groceries
concert ticket payment,Entertainment
tour booking expense,Travel
